technique_id,name,tradition,school,status,output_type,domains,notes
WEST-LOTS-SPIRIT,Lot of Spirit,Western astrology,Hellenistic,researching,calculation,PURPOSE;CAREER;TIME,"Day/night formulas must be source-tagged."
WEST-LOTS-EROS,Lot of Eros,Western astrology,Hellenistic,researching,calculation,LOVE;SEX_INTIMACY,"Formula provenance required."
WEST-LOTS-NECESSITY,Lot of Necessity,Western astrology,Hellenistic,researching,calculation,SHADOW;TIME,"Formula provenance required."
WEST-PROFECTIONS-ANNUAL,Annual profections,Western astrology,Hellenistic,researching,timing,TIME;CAREER;LOVE;MONEY,"Time-lord technique."
WEST-ZODIACAL-RELEASING,Zodiacal releasing,Western astrology,Hellenistic,researching,timing,TIME;CAREER;PURPOSE,"Lot and sign-period assumptions explicit."
WEST-DECENNIALS,Decennials,Western astrology,Hellenistic,planned,timing,TIME,"Source-specific implementation."
WEST-SOLAR-RETURN,Solar returns,Western astrology,Traditional,researching,timing,TIME;MONEY;LOVE;CAREER,"Return location policy must be explicit."
WEST-PRIMARY-DIRECTIONS,Primary directions,Western astrology,Traditional,planned,timing,TIME,"Multiple methods; preserve variant."
WEST-FIRDARIA,Firdaria,Western astrology,Medieval,planned,timing,TIME;PURPOSE,"Sect-sensitive time-lord system."
WEST-FIXED-STARS,Fixed-star contacts,Western astrology,Traditional,planned,interpretation,SELF;PURPOSE;CAREER,"Star catalog/epoch/orb rules explicit."
JYOT-LAGNA,Lagna and Lagnesha,Jyotisha,Parashari,researching,interpretation,SELF;PURPOSE;HEALTH_SYMBOLISM,"Sidereal reference and bhava method explicit."
JYOT-NAKSHATRA,Nakshatra,Jyotisha,Parashari,researching,classification,SELF;LOVE;PURPOSE;TIME,"Exact longitude and ayanamsha required."
JYOT-NAKSHATRA-PADA,Nakshatra pada,Jyotisha,Parashari,researching,classification,SELF;LOVE;PURPOSE,"Quarter division with navamsha relation."
JYOT-NAVAMSHA-D9,Navamsha D9,Jyotisha,Parashari,researching,calculation,LOVE;PURPOSE;SELF,"Varga calculation convention explicit."
JYOT-DASHAMSHA-D10,Dashamsha D10,Jyotisha,Parashari,researching,calculation,CAREER;PURPOSE;MONEY,"Varga calculation convention explicit."
JYOT-HORA-D2,Hora D2,Jyotisha,Parashari,researching,calculation,MONEY,"Multiple D2 conventions may exist."
JYOT-VARGOTTAMA,Vargottama,Jyotisha,Parashari,researching,classification,SELF;PURPOSE,"Cross-varga repetition."
JYOT-VIMSHOTTARI,Vimshottari dasha,Jyotisha,Parashari,researching,timing,TIME;LOVE;MONEY;CAREER;PURPOSE,"Birth nakshatra and balance calculation must be exact."
JYOT-SHADBALA,Shadbala,Jyotisha,Parashari,planned,calculation,SELF;CAREER;PURPOSE,"Multi-component strength calculation."
JYOT-ASHTAKAVARGA,Ashtakavarga,Jyotisha,Parashari,planned,calculation,TIME;MONEY;CAREER,"Bindu calculation and school conventions explicit."
JYOT-AVASTHAS,Avasthas,Jyotisha,Parashari,planned,classification,SELF;SHADOW;PURPOSE,"Multiple avastha schemes; do not merge."
JYOT-YOGA-RAJA,Raja yogas,Jyotisha,Parashari,researching,interpretation,CAREER;PURPOSE;MONEY,"Require exact textual yoga definitions."
JYOT-YOGA-DHANA,Dhana yogas,Jyotisha,Parashari,researching,interpretation,MONEY;CAREER,"No generic wealth claims without matching source rule."
JYOT-CHARA-KARAKA,Chara Karakas,Jyotisha,Jaimini,researching,classification,SELF;PURPOSE;LOVE,"Karakas and tie-breaking convention explicit."
JYOT-ARUDHA-LAGNA,Arudha Lagna,Jyotisha,Jaimini,researching,calculation,SOCIAL;CAREER;MONEY,"Jaimini boundary preserved."
JYOT-UPAPADA,Upapada Lagna,Jyotisha,Jaimini,researching,calculation,LOVE;COMPATIBILITY,"Source rules and exceptions explicit."
JYOT-RASHI-DRISHTI,Rashi drishti,Jyotisha,Jaimini,researching,relationship,SELF;LOVE;CAREER,"Do not confuse with Parashari graha drishti."
JYOT-PANCHANGA,Panchanga,Jyotisha,Muhurta,researching,timing,TIME;PURPOSE,"Tithi vara nakshatra yoga karana."
JYOT-MUHURTA,Muhurta,Jyotisha,Muhurta,planned,timing,TIME;LOVE;MONEY;CAREER,"Electional rules require separate source corpus."
NUM-LIFE-PATH,Life Path number,Numerology,Western numerology,researching,calculation,SELF;PURPOSE,"Reduction convention explicit."
NUM-BIRTHDAY,Birthday number,Numerology,Western numerology,researching,calculation,SELF;PURPOSE,"Reduction convention explicit."
NUM-EXPRESSION,Expression or Destiny number,Numerology,Pythagorean-style,researching,calculation,PURPOSE;CAREER;SELF,"Letter mapping and name policy explicit."
NUM-SOUL-URGE,Soul Urge number,Numerology,Pythagorean-style,researching,calculation,SELF;LOVE;PURPOSE,"Vowel treatment and Y convention explicit."
NUM-PERSONALITY,Personality number,Numerology,Pythagorean-style,researching,calculation,SOCIAL;SELF,"Consonant mapping policy explicit."
NUM-MATURITY,Maturity number,Numerology,Pythagorean-style,planned,calculation,PURPOSE;TIME,"Formula provenance required."
NUM-PERSONAL-YEAR,Personal Year,Numerology,Western numerology,researching,timing,TIME;MONEY;LOVE;CAREER,"Calendar/birthday turnover convention explicit."
NUM-PINNACLES,Pinnacles,Numerology,Western numerology,planned,timing,TIME;PURPOSE,"Formula/school provenance required."
NUM-CHALLENGES,Challenge numbers,Numerology,Western numerology,planned,interpretation,SHADOW;TIME,"Formula/school provenance required."
HD-TYPE,Type,Human Design,Official system,researching,classification,SELF;PURPOSE,"Official terminology only; original prose interpretations."
HD-STRATEGY,Strategy,Human Design,Official system,researching,classification,SELF;PURPOSE;LOVE,"Official terminology only."
HD-AUTHORITY,Inner Authority,Human Design,Official system,researching,classification,SELF;PURPOSE,"Calculation/definition logic must be validated."
HD-PROFILE,Profile,Human Design,Official system,researching,classification,SELF;SOCIAL;PURPOSE,"Line-pair mechanics."
HD-CENTERS,Centers,Human Design,Official system,researching,classification,SELF;SHADOW;SOCIAL,"Defined/undefined/open logic."
HD-CHANNELS,Channels,Human Design,Official system,researching,relationship,SELF;PURPOSE;LOVE,"Gate pair mechanics."
HD-GATES,Gates and lines,Human Design,Official system,planned,classification,SELF;PURPOSE;SHADOW,"Proprietary interpretation risk; use original prose."
HD-INCARNATION-CROSS,Incarnation Cross,Human Design,Official system,planned,classification,PURPOSE;SELF,"Requires validated Sun/Earth gate-line calculation."
WEST-PTOLEMAIC-REJOICING,Ptolemaic rejoicing conditions,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF;PURPOSE,"Source-specific conditions described by Ptolemy as planets rejoicing; keep separate from later house-planet joys."
WEST-MATUTINE-VESPERTINE,Matutine and vespertine solar relation,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF;PURPOSE,"Sun-relative preceding/following classification. Keep separate from horizon-quadrant oriental/occidental classification."
WEST-PTOLEMAIC-PLANETARY-QUALITIES,Ptolemaic planetary qualities,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Source-specific elemental and temperamental qualities of the Sun, Moon, and planets. Existing sect and dignity techniques do not represent this nature layer."
WEST-PTOLEMAIC-BENEFIC-MALEFIC,Ptolemaic benefic and malefic classification,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Source-specific quality-based benefic, malefic, and common-influence classification. Keep distinct from later bonification and maltreatment conditions."
WEST-PTOLEMAIC-SIGN-CONFIGURATIONS,Ptolemaic zodiacal configurations,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Book I distance taxonomy for opposition, trine, quartile, and sextile. Keep distinct from later minor-aspect and house-planet joy terminology."
WEST-PTOLEMAIC-PROPER-FACE,Ptolemaic proper face,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Source-specific proper-face relation in Book I Chapter XXVI; distinct from later decan or face dignity."
WEST-PTOLEMAIC-SIGN-FAMILIARITIES,Ptolemaic sign familiarities,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Book I commanding/obeying, equal-power/beholding, and inconjunct sign relations. Existing aversion does not represent the full source vocabulary."
WEST-PTOLEMAIC-PROPER-CHARIOT,Ptolemaic proper chariot,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Book I proper chariot/throne condition; distinct from proper face, rejoicing, and later house-planet joy."
WEST-PTOLEMAIC-SIGN-DISSIMILARITY,Ptolemaic sign dissimilarity,Western astrology,Ptolemaic / Hellenistic,researching,interpretation,SELF,"Book I loss-of-influence condition for a planet in an adverse or dissimilar sign; distinct from generic maltreatment."
WEST-PTOLEMAIC-APPLY-SEPARATION,Ptolemaic application and separation,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Book I application/separation terms for nearby moving bodies; distinct from speed and retrogradation calculations."
WEST-EDITORIAL-DAY-NIGHT-HOUSES,Ashmand and Whalley day-night house ordering,Western astrology,Ashmand and Whalley editorial transmission,researching,classification,SELF,"Editorial/modern day-night ordering reported in the Ashmand edition's footnote 49; keep separate from Ptolemy's main-text two-house assignments."
WEST-PTOLEMAIC-SEASONAL-QUALITIES,Ptolemaic seasonal qualities,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Book I seasonal elemental qualities; source-specific background distinct from planetary nature and sign qualities."
WEST-PTOLEMAIC-ANGULAR-QUALITIES,Ptolemaic angular qualities,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Book I qualities assigned to the four horizon angles; distinct from later house-rulership interpretation."
WEST-PTOLEMAIC-SIGN-CATEGORIES,Ptolemaic sign categories,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Book I tropical, equinoctial, fixed, and bicorporeal sign taxonomy with source-order provenance."
WEST-PTOLEMAIC-SIGN-GENDER,Ptolemaic sign gender arrangements,Western astrology,Ptolemaic / Hellenistic,researching,classification,SELF,"Book I masculine/feminine and diurnal/nocturnal sign arrangements; preserve reported alternatives rather than selecting one."
WEST-PTOLEMAIC-ZODIACAL-BEGINNINGS,Ptolemaic zodiacal beginnings,Western astrology,Ptolemaic / Hellenistic,researching,calculation,SELF,"Book I convention for taking sign and term beginnings from equinoctial and tropical points."
WEST-PTOLEMAIC-INFLUENCE-STRENGTH,Ptolemaic influence strength conditions,Western astrology,Ptolemaic / Hellenistic,researching,interpretation,SELF,"Book I Ch. XXVII source-specific strength and angular-position conditions; distinct from later essential/accidental dignity systems."
JYOT-BRIHATJATAKA-GRAHA-NATURE,Brihat Jataka graha nature,Jyotisha,Brihat Jataka / Varahamihira,researching,classification,SELF,"Source-specific graha nature and functional symbolism; not a universal Jyotisha claim."
JYOT-BRIHATJATAKA-RASHI-LORDSHIP,Brihat Jataka rashi lordship,Jyotisha,Brihat Jataka / Varahamihira,researching,classification,SELF,"Sign-lord sequence and sign-placement foundation from the cited chapters; no modern rulership backfill."
JYOT-BRIHATJATAKA-RASHI-CATEGORIES,Brihat Jataka rashi categories,Jyotisha,Brihat Jataka / Varahamihira,researching,classification,SELF,"Source-specific movable/cardinal, fixed, dual, and related sign categories; preserve translation uncertainty."
JYOT-BRIHATJATAKA-EXALTATION,Brihat Jataka exaltation,Jyotisha,Brihat Jataka / Varahamihira,researching,classification,SELF,"Exaltation-degree and opposite debilitation framework stated by Varahamihira; do not assume later dignity systems."
JYOT-BRIHATJATAKA-NATURAL-BENEFIC-MALEFIC,Brihat Jataka natural benefic malefic,Jyotisha,Brihat Jataka / Varahamihira,researching,classification,SELF,"The cited passages mention natural benefic/malefic categories and temporal placement, but this batch does not encode a planet-membership table."
JYOT-BRIHATJATAKA-ELEMENTAL-LORDSHIP,Brihat Jataka elemental lordship,Jyotisha,Brihat Jataka / Varahamihira,researching,classification,SELF,"Source-specific fire, earth, ether, water, and air lordship taxonomy from Chapter 2."
JYOT-BRIHATJATAKA-GRAHA-RELATIONSHIPS,Brihat Jataka graha relationships,Jyotisha,Brihat Jataka / Varahamihira,researching,relationship,SELF,"Natural friendship, temporary friendship, and relationship tables as stated in the source."
JYOT-BRIHATJATAKA-GRAHA-DRISHTI,Brihat Jataka graha drishti,Jyotisha,Brihat Jataka / Varahamihira,researching,relationship,SELF,"Source-specific graha aspect terminology; do not merge with Jaimini rashi drishti."
JYOT-BRIHATJATAKA-GRAHA-STRENGTH,Brihat Jataka graha strength,Jyotisha,Brihat Jataka / Varahamihira,researching,classification,SELF,"Source-specific positional, temporal, and motion strength conditions; no universal ayanamsha assumption."
JYOT-BRIHATJATAKA-LAGNA-BHAVA,Brihat Jataka lagna and bhava,Jyotisha,Brihat Jataka / Varahamihira,researching,interpretation,SELF,"Lagna-relative house significations and judgment framework; Lagna and sign placement required."
JYOT-BRIHATJATAKA-VARGA-DREKKANA,Brihat Jataka varga and drekkana,Jyotisha,Brihat Jataka / Varahamihira,researching,calculation,SELF,"Source-specific divisional terminology and drekkana structure; varga calculation convention must remain explicit."
JYOT-BRIHATJATAKA-DASHA,Brihat Jataka dasha,Jyotisha,Brihat Jataka / Varahamihira,researching,timing,TIME,"Source-specific dasha-lord selection, result portions, and quality fragments; the cited rules are explicitly non-executable until missing dependencies are supplied, and no universal Vimshottari implementation is assumed."
JYOT-BRIHATJATAKA-NAVAMSHA,Brihat Jataka navamsha,Jyotisha,Brihat Jataka / Varahamihira,researching,interpretation,CAREER,"Navamsha-based profession and result statements from the cited vocation chapter; current rules are textual associations and require the separate 10.1 reference dependency."
JYOT-BRIHATJATAKA-YOGA,Brihat Jataka yoga,Jyotisha,Brihat Jataka / Varahamihira,researching,classification,SELF,"Definition-only Moon-yoga classifications in this batch; outcome domains and later yoga systems are not imported."
JYOT-BRIHATJATAKA-NATAL-JUDGMENT,Brihat Jataka natal judgment,Jyotisha,Brihat Jataka / Varahamihira,researching,interpretation,SELF,"General natal judgment mechanics stated by Varahamihira; not a universal Jyotisha synthesis rule."
